4

File Contents:
Measurement type,Year,Month,Day,Hour,Minute,Second,Reference A/D,Current A/D,CH4 (PPM),Corrected disolved CH4 (PPM),Pressure sensor temperature,Pressure,IRGA detector temperature,Supply voltage, Board temperature A/D,Analog in 1 A/D,Analog in 2 A/D
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%07.1f,%03.2f,%02.1f,%4.1f,%02.1f,%02.1f,%04.0f,%04.0f,%04.0f
W M,2017,10,19,13,27,35,553,1355,-1250000.000,-1272038.500,14.238,982.675,2.590,6.9,4095,2509,1922
W M,2017,10,19,13,27,57,559,1363,-1250000.000,-1271660.375,14.042,982.967,3.001,6.8,4095,2545,1934
W M,2017,10,19,13,28,19,557,1362,0.000,0.000,13.857,982.857,3.294,6.8,4095,2574,1924
W M,2017,10,19,13,28,41,557,1361,0.000,0.000,13.657,982.810,3.529,6.8,4095,2575,1898
W M,2017,10,19,13,29,03,557,1360,0.000,0.000,13.464,982.779,3.705,6.9,4095,2545,1909
W M,2017,10,19,13,29,25,558,1360,0.000,0.000,13.274,982.660,3.822,6.8,4095,2530,1902
W M,2017,10,19,13,29,47,558,1360,0.000,0.000,13.077,982.697,3.940,6.8,4095,2529,1900
W M,2017,10,19,13,30,09,558,1359,0.000,0.000,12.886,982.725,3.998,6.8,4095,2567,1902
W M,2017,10,19,13,30,31,558,1359,0.000,0.000,12.667,982.587,3.998,6.8,4095,2536,1909
W M,2017,10,19,13,30,53,557,1359,0.000,0.000,12.496,982.562,3.998,6.8,4095,2607,1934
W M,2017,10,19,13,31,15,557,1358,0.000,0.000,12.286,987.458,3.998,6.8,4095,2554,1939
W M,2017,10,19,13,31,37,556,1355,0.000,0.000,12.078,1009.104,3.998,6.8,4095,2654,1978
W M,2017,10,19,13,31,59,557,1354,0.000,0.000,11.781,990.367,3.881,6.8,4095,2541,1926
W M,2017,10,19,13,32,21,557,1352,0.000,0.000,11.374,991.827,3.764,6.8,4095,2544,1899
W M,2017,10,19,13,32,43,557,1349,0.000,0.000,10.891,983.619,3.529,6.8,4095,2587,1898
W M,2017,10,19,13,33,05,557,1347,1000.000,1009.805,10.386,990.290,3.294,6.8,4095,2569,1943
W M,2017,10,19,13,33,27,557,1345,1000.000,1016.469,9.838,983.797,2.942,6.9,4095,2566,1915
W M,2017,10,19,13,33,49,557,1342,1000.000,1012.178,9.312,987.969,2.590,6.9,4095,2562,1929
W M,2017,10,19,13,34,11,557,1341,1000.000,1009.190,8.815,990.894,2.238,6.8,4095,2608,1938
W M,2017,10,19,13,34,33,557,1339,1000.000,1012.656,8.321,987.502,1.886,6.9,4007,2630,2008
W M,2017,10,19,13,34,55,557,1337,1000.000,1010.254,7.868,989.850,1.534,6.8,4030,2620,2001
W M,2017,10,19,13,35,17,557,1336,2000.000,2025.496,7.431,987.413,1.123,6.7,3987,2659,1990
W M,2017,10,19,13,35,39,557,1335,2000.000,2023.821,7.015,988.230,0.712,6.8,4028,2657,1999
W M,2017,10,19,13,36,01,557,1334,2000.000,2019.323,6.642,990.431,0.419,6.8,4095,2611,1981
W M,2017,10,19,13,36,23,553,1333,1000.000,1011.802,6.300,988.335,0.067,6.8,4095,2646,1999
W M,2017,10,19,13,36,45,555,1332,2000.000,2023.859,5.964,988.211,-0.285,6.8,4066,2632,1997
W M,2017,10,19,13,37,07,556,1331,2000.000,2031.153,5.675,984.663,-0.637,6.8,4095,2673,2013
W M,2017,10,19,13,37,29,557,1330,3000.000,3043.454,5.382,985.722,-0.930,6.8,4095,2666,2035
W M,2017,10,19,13,37,51,558,1329,3000.000,3034.848,5.113,988.518,-1.165,6.8,4063,2697,2026
W M,2017,10,19,13,38,13,557,1329,3000.000,3054.158,4.870,982.267,-1.459,6.8,4023,2675,2028
W M,2017,10,19,13,38,35,558,1329,3000.000,3054.757,4.639,982.075,-1.752,6.8,4095,2646,2010
W M,2017,10,19,13,38,57,558,1329,3000.000,3050.573,4.428,983.422,-1.987,6.8,4095,2674,1995
W M,2017,10,19,13,39,19,558,1328,3000.000,3043.208,4.221,985.802,-2.163,6.8,4061,2710,2024
W M,2017,10,19,13,39,41,559,1328,4000.000,4069.842,4.022,982.839,-2.397,6.8,4095,2656,2034
W M,2017,10,19,13,40,03,558,1328,3000.000,3037.403,3.843,987.686,-2.573,6.8,3991,2638,1998
W M,2017,10,19,13,40,25,558,1327,4000.000,4059.398,3.666,985.368,-2.749,6.8,4095,2647,2035
W M,2017,10,19,13,40,47,559,1326,4000.000,4068.496,3.496,983.164,-2.925,6.8,4095,2683,2049
W M,2017,10,19,13,41,09,559,1325,5000.000,5068.736,3.355,986.439,-3.101,6.8,4095,2672,2018
